subject,scenario,base,adjusted_by,unit,per,correlation
passing,neutral,wins,opponent,offense,game,0.3012709843405413
any,any,wins,opponent,offense,game,0.3012709843405413
rushing,any,wins,opponent,defense,play,0.300790148240132
rushing,any,points,none,offense,drive,0.30029252093514874
rushing,any,wins,opponent,differential,play,0.3002306959675041
any,any,series_conversions,none,differential,game,0.3001647145830226
passing,any,points,none,offense,drive,0.30000782458900715
core,any,wins,opponent,differential,play,0.3000037809915497
any,any,series_conversions,none,differential,drive,0.29976367108759766
any,neutral,success,opponent,offense,play,0.29926950597498664
any,any,wins,opponent,differential,play,0.2986136619768383
passing,any,yards,none,differential,drive,0.2983939347872736
passing,any,points,opponent,differential,play,0.29826958156880506
core,neutral,yards,opponent,differential,drive,0.2981736385512786
core,any,wins,none,defense,play,0.2978763770676324
passing,any,wins,opponent,defense,play,0.2975378401591521
any,any,wins,none,defense,play,0.29737168368673295
rushing,neutral,wins,none,offense,drive,0.29729945478492353
rushing,any,points,none,differential,game,0.29569955279213306
passing,neutral,success,opponent,differential,drive,0.2951713511222537
passing,any,yards,opponent,differential,drive,0.2951531854550473
core,neutral,yards,none,offense,game,0.2949851418408172
any,neutral,yards,none,offense,game,0.2949851418408172
passing,any,wins,opponent,differential,play,0.2941663113669113
any,any,success,opponent,differential,play,0.2941177507011021
rushing,any,wins,none,defense,play,0.29409055768075826
passing,neutral,success,opponent,differential,game,0.29403119549208406
core,neutral,success,none,differential,drive,0.29387178272027303
rushing,neutral,wins,opponent,offense,drive,0.2937192095455268
rushing,neutral,wins,none,differential,drive,0.2932118024483519
rushing,neutral,wins,opponent,differential,drive,0.2927441838479486
passing,neutral,wins,none,defense,drive,0.2926270815270674
passing,any,success,opponent,differential,game,0.2926257039464887
rushing,neutral,wins,none,defense,game,0.29240377499533576
rushing,any,wins,none,offense,game,0.29240377499533576
any,any,wins,none,differential,game,0.29240377499533576
core,neutral,wins,none,offense,game,0.29240377499533576
passing,any,wins,none,offense,game,0.29240377499533576
passing,any,wins,none,defense,game,0.29240377499533576
core,neutral,wins,none,defense,game,0.29240377499533576
rushing,any,wins,none,differential,game,0.29240377499533576
any,any,wins,none,offense,game,0.29240377499533576
core,neutral,wins,none,differential,game,0.29240377499533576
any,any,wins,none,defense,game,0.29240377499533576
rushing,any,wins,none,defense,game,0.29240377499533576
any,neutral,wins,none,differential,game,0.29240377499533576
any,neutral,wins,none,defense,game,0.29240377499533576
passing,neutral,wins,none,offense,game,0.29240377499533576
rushing,neutral,wins,none,differential,game,0.29240377499533576
rushing,neutral,wins,none,offense,game,0.29240377499533576
any,neutral,wins,none,offense,game,0.29240377499533576
passing,any,wins,none,differential,game,0.29240377499533576
core,any,wins,none,defense,game,0.29240377499533576
passing,neutral,wins,none,differential,game,0.29240377499533576
core,any,wins,none,differential,game,0.29240377499533576
core,any,wins,none,offense,game,0.29240377499533576
passing,neutral,wins,none,defense,game,0.29240377499533576
any,neutral,wins,opponent,defense,drive,0.2923379221747486
core,neutral,success,opponent,differential,play,0.2922445670002214
any,any,success,opponent,differential,game,0.29208601778487375
any,neutral,wins,none,defense,drive,0.29201859455101375
rushing,any,points,opponent,offense,game,0.2919372127015073
passing,neutral,wins,opponent,defense,drive,0.29179571761764544
core,neutral,wins,opponent,defense,drive,0.29174235047071023
core,any,wins,none,differential,play,0.2916024476001762
rushing,any,points,opponent,offense,drive,0.2915248636243227
core,neutral,wins,none,defense,drive,0.29152403735700566
passing,any,points,none,differential,play,0.2914740316591795
rushing,any,wins,none,differential,play,0.2912756027853138
passing,neutral,wins,none,offense,play,0.2909418099792157
passing,neutral,points,opponent,offense,drive,0.29071467614595103
any,any,wins,none,differential,play,0.290126641836502
any,neutral,wins,none,differential,drive,0.289813044841053
rushing,neutral,wins,opponent,defense,drive,0.28959150717882554
passing,any,wins,none,defense,play,0.289496522090405
any,neutral,wins,opponent,differential,drive,0.2893717169127721
passing,neutral,points,none,offense,game,0.28935741370844875
any,any,series_conversions,opponent,differential,game,0.2893301832512222
passing,neutral,wins,none,differential,drive,0.2891768188148679
any,any,series_conversions,opponent,differential,drive,0.2890762405717663
core,neutral,wins,none,differential,drive,0.2888578088668378
core,neutral,points,none,differential,play,0.28877107398582613
core,neutral,success,none,differential,game,0.2887359166564755
passing,neutral,wins,opponent,differential,drive,0.28867001987290497
core,neutral,wins,opponent,differential,drive,0.28826673125053615
rushing,any,wins,none,offense,drive,0.2882475004109899
rushing,any,points,none,offense,play,0.28817211084468414
passing,any,success,opponent,differential,play,0.28794048511088727
rushing,neutral,wins,none,defense,drive,0.287735655119709
rushing,any,wins,opponent,offense,drive,0.2877314558284167
passing,any,wins,none,differential,play,0.2876441748522977
rushing,neutral,series_conversions,none,differential,play,0.2871488953473263
any,neutral,wins,none,offense,drive,0.2868969148723389
any,any,wins,opponent,defense,drive,0.2866819406021795
core,any,wins,opponent,defense,drive,0.28666988357309225
any,neutral,success,opponent,offense,game,0.2862223479721184
any,any,wins,opponent,differential,drive,0.2856645057450338
any,neutral,wins,opponent,offense,drive,0.28535151112964596
core,neutral,wins,none,offense,drive,0.2853497621258613
core,neutral,yards,opponent,offense,game,0.2853318284368665
any,neutral,yards,opponent,offense,game,0.2853318284368665
any,any,success,opponent,differential,drive,0.285244974202968
any,neutral,success,none,differential,play,0.28522754096341923
passing,neutral,wins,opponent,offense,play,0.28519818407657066
core,any,wins,opponent,differential,drive,0.2851920798121063
passing,any,wins,opponent,defense,drive,0.2850687987002528
passing,any,success,opponent,differential,drive,0.2847530430563221
passing,neutral,wins,none,offense,drive,0.2844213986906847
any,any,wins,none,differential,drive,0.2843736096365916
any,any,wins,none,offense,drive,0.28421769930747715
any,any,wins,none,defense,drive,0.2840686121750248
core,any,wins,opponent,offense,play,0.2840072610036079
any,any,wins,opponent,offense,drive,0.2839606624268692
core,any,wins,none,differential,drive,0.28391469903617794
core,any,wins,none,defense,drive,0.2838768128068506
rushing,neutral,series_conversions,opponent,differential,play,0.2835992097320286
passing,any,wins,none,defense,drive,0.28359354684461663
passing,neutral,wins,opponent,offense,drive,0.28356095714548923
